mal_number,product_name,generic_name,fair_price_myr
MAL19912742AZ,Augmentin 625mg Tablet,Amoxicillin/Clavulanate,85.00
MAL20013534ARZ,Lipitor 20mg,Atorvastatin,120.00
MAL09100266AZ,Garbose 100mg,Acarbose,204.00
MAL19987336ACSZ,Salofalk 500mg,Mesalazine,318.40
MAL16065015ACRZ,OFEV 150mg,Nintedanib,350.00
MAL17107014AZ,Alfuzosin ER 10mg,Alfuzosin,40.00
MAL19973001AZ,Virless 200mg (Acyclovir),Acyclovir,231.00
MAL19940439AZ,Pentasa 500mg,Mesalazine,220.00
MAL19986501AZ,Virless 800mg,Acyclovir,243.00
MAL06061675AZ,Pentasa 1g Granules,Mesalazine,687.50
MAL20033521XRZ,Panadol Actifast,Paracetamol,18.00
MAL19961358XRZ,Panadol Soluble,Paracetamol,25.00
MAL20013500XZ,Appeton Activ-C 250,Ascorbic Acid,35.00
MAL20106013XZ,Biowell Zeero 200mg,Albendazole,8.50
MAL20034830X,Mucil 100mg Sachet,Acetylcysteine,33.00
MAL20034832X,Mucil 200mg Sachet,Acetylcysteine,39.00
MAL19986502XZ,Casprin 100mg,Aspirin,15.40
MAL20001570XZ,Glyprin 100mg,Aspirin/Glycine,13.40
MAL19970106XZ,Three Legs Yellow Lotion,Acriflavine,4.00
MAL19912644XZ,Dermoplex Burn Aid Cream,Acriflavine,10.50
MAL19971865XZ,Vemizol Suspension,Albendazole,9.50
MAL20013131XZ,Champs D-Worms,Albendazole,119.00
MAL09032049XZ,Zyrtec-R 10mg,Cetirizine,35.00
MAL19984067XZ,Clarityn 10mg,Loratadine,30.00
MAL09082855XRZ,Gaviscon Double Action,Sodium Alginate,45.00
MAL08051756XCZ,Difflam Lozenges,Benzydamine,15.00
MAL19963162XCZ,Vicks VapoRub,Menthol/Camphor,12.00
MAL18116124NC,Janipro Just-C,Vitamin C,36.00
MAL19940185XCZ,Flavisept Cream,Acriflavine,8.00
MAL19930010XZ,Cap Kaki Tiga Powder,Aspirin,5.40